coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_fielding,handle_veterans,handle_rookies,handle_players,strategy_knowledge,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,busy,type,data,days_left
1,"Cory","Burney","",64,"1970-7-26",76957,206,215,191,1,30,2,0,0,0,0,0,0,0,5,14,11,1,2,142,141,118,140,127,134,0,0,0,0,0,0,5,3,3,3,0,103,0,0,0,0,2,1,3,4,3,-3,-3,-2,3,1,0,-1,1,-1,1,3,0,3,2,3,2,3,3,0,0,-1,-2,5,3,1,2,3,-1,0,5,10,4,1,0,3,0,-3,135,139,140,6,0,0,0,0,0
2,"Eric","Johnson","",61,"1973-2-21",75407,206,210,188,1,19,2,0,0,0,0,0,0,0,25,23,14,11,2,63,75,86,78,90,84,0,0,0,0,0,0,5,3,3,3,0,71,0,0,0,0,2,3,2,3,2,-3,-1,0,3,0,0,0,-1,1,2,2,0,3,3,3,3,3,4,0,0,5,2,-5,0,1,4,1,-2,0,5,9,4,2,3,8,4,6,101,77,68,19,0,0,0,0,0
3,"Josh","O'Donnell","",58,"1976-1-26",38456,206,210,194,3,24,1,14,0,4,636000,2,0,0,74,61,73,58,1,23,24,11,29,3,16,0,0,0,0,0,0,0,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,-5,-4,-2,-4,5,-2,0,4,11,4,1,0,6,1,-3,52,22,21,66,0,0,0,0,0
4,"John","Vogelsong","",53,"1981-11-28",56846,206,195,187,8,12,12,10,0,0,198000,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,64,83,88,169,0,2,3,1,1,0,161,117,115,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,5,-3,-3,4,1,1,-1,5,8,5,2,-3,-2,2,-2,60,0,0,1,103,0,0,0,0
5,"Bill","Tice","",56,"1978-2-24",42078,206,210,186,7,14,6,0,0,5,0,0,0,0,94,63,100,74,2,18,24,11,3,6,4,0,0,0,0,0,0,0,2,3,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,-2,5,1,5,2,0,0,6,10,2,2,1,-3,8,1,61,19,15,81,0,0,0,0,0
6,"David","Ganley","",45,"1989-9-4",90842,206,243,191,5,0,5,50,1857,0,28000,1,0,0,20,18,26,12,3,83,56,37,65,95,80,0,0,0,0,0,0,2,3,3,0,0,40,0,0,0,0,-2,3,3,2,2,1,-1,-3,2,-3,-3,-2,-1,-2,-2,-3,0,0,-1,1,1,4,1,0,0,4,5,3,-1,-4,-2,3,0,-1,8,9,3,0,3,-2,9,6,49,62,82,18,0,0,0,0,0
7,"Carlos","Vallejo","",45,"1989-4-23",44830,206,199,179,4,4,4,37,2864,0,48000,1,0,0,7,10,0,3,2,2,83,12,90,93,92,0,0,0,0,0,0,0,3,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-8,-2,-9,5,-7,1,0,0,6,9,4,1,1,-1,4,-6,56,85,25,6,0,0,0,0,0
8,"Adam","Gaudette","",60,"1974-6-28",77041,206,200,182,1,23,2,3,0,0,1516000,4,0,0,14,17,15,28,4,97,89,116,81,71,76,0,0,0,0,0,0,5,1,1,1,0,123,0,0,0,0,2,3,3,3,2,-2,-3,-2,3,1,-1,1,1,0,1,2,-1,2,3,3,3,4,3,0,0,-1,1,-2,2,4,8,1,1,0,6,9,3,2,-2,-3,7,-3,137,86,92,19,0,0,0,0,0
9,"Luis","Estrada","",54,"1980-3-8",1825,206,215,184,2,9,3,19,0,0,218000,2,0,0,17,11,11,14,2,59,60,74,63,60,62,0,0,0,0,0,0,1,1,3,3,0,58,0,0,0,0,1,-1,1,-1,-1,1,-1,2,1,0,-1,1,-1,-1,1,1,-1,0,0,-1,-1,-1,1,0,0,0,-5,-6,-2,4,-7,1,1,0,5,9,6,0,7,1,-6,-6,92,61,60,14,0,0,0,0,0
10,"Greg","Haynes","",50,"1984-7-30",29899,206,210,187,3,19,1,9,0,4,1016000,2,0,0,53,53,52,61,4,27,32,0,22,8,15,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,-2,0,5,1,0,5,9,4,2,-8,-5,3,-6,100,28,24,56,0,0,0,0,0
